row_index,event_key,company,ticker,year,quarter,correctable,prior_closing_date,prior_close,next_opening_date,next_day_open,release_date,release_timing,release_date_source,entry_shifted_vs_legacy,report_date_corrected,original_prior_close,original_next_day_open,price_delta_flag,not_correctable_reason
331,Union Pacific|2025|Q3,Union Pacific,UNP,2025,Q3,FALSE,,,,,,,,,NO,225.24,223.28,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
332,UnitedHealth|2025|Q3,UnitedHealth,UNH,2025,Q3,TRUE,2025-10-27,365.98,2025-10-28,380.68,2025-10-28,pre_market,returns_matrix.csv,FALSE,YES,365.98,380.68,NO,
333,Caterpillar|2025|Q3,Caterpillar,CAT,2025,Q3,TRUE,2025-10-28,524.47,2025-10-29,558.18,2025-10-29,pre_market,returns_matrix.csv,FALSE,YES,524.47,558.18,NO,
334,Home Depot|2025|Q3,Home Depot,HD,2025,Q3,FALSE,,,,,,,,,NO,358.03,339.98,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
335,Adobe|2025|Q4,Adobe,ADBE,2025,Q4,FALSE,,,,,,,,,NO,343.13,341.65,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
336,Freeport-McMoRan|2025|Q4,Freeport-McMoRan,FCX,2025,Q4,FALSE,,,,,,,,,NO,60.58,60.78,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
337,UnitedHealth|2025|Q4,UnitedHealth,UNH,2025,Q4,TRUE,2026-01-26,351.64,2026-01-27,293.97,2026-01-27,pre_market,returns_matrix.csv,FALSE,YES,351.64,293.97,NO,
338,Union Pacific|2025|Q4,Union Pacific,UNP,2025,Q4,FALSE,,,,,,,,,NO,230.89,235.0,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
339,Caterpillar|2025|Q4,Caterpillar,CAT,2025,Q4,TRUE,2026-01-28,643.28,2026-01-29,655.17,2026-01-29,pre_market,returns_matrix.csv,FALSE,YES,643.28,655.17,NO,
340,Home Depot|2025|Q4,Home Depot,HD,2025,Q4,FALSE,,,,,,,,,NO,376.99,389.11,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
341,Adobe|2026|Q1,Adobe,ADBE,2026,Q1,FALSE,,,,,,,,,NO,269.78,249.0,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
342,UnitedHealth|2026|Q1,UnitedHealth,UNH,2026,Q1,FALSE,,,,,,,,,NO,323.48,353.01,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
343,Freeport-McMoRan|2026|Q1,Freeport-McMoRan,FCX,2026,Q1,FALSE,,,,,,,,,NO,70.36,62.27,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
344,Union Pacific|2026|Q1,Union Pacific,UNP,2026,Q1,FALSE,,,,,,,,,NO,249.4,262.76,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
345,Caterpillar|2026|Q1,Caterpillar,CAT,2026,Q1,FALSE,,,,,,,,,NO,810.05,856.63,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
346,Home Depot|2026|Q1,Home Depot,HD,2026,Q1,FALSE,,,,,,,,,NO,299.81,291.87,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
347,Adobe|2026|Q2,Adobe,ADBE,2026,Q2,FALSE,,,,,,,,,NO,218.8,202.4,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
348,PepsiCo|2023|Q1,PepsiCo,PEP,2023,Q1,TRUE,2023-04-24,185.5,2023-04-25,186.56,2023-04-25,pre_market,returns_matrix.csv,TRUE,YES,189.71,188.48,YES,
349,PepsiCo|2023|Q2,PepsiCo,PEP,2023,Q2,TRUE,2023-07-12,183.17,2023-07-13,185.8,2023-07-13,pre_market,returns_matrix.csv,TRUE,YES,187.53,187.86,YES,
350,PepsiCo|2023|Q3,PepsiCo,PEP,2023,Q3,TRUE,2023-10-09,161.36,2023-10-10,164.25,2023-10-10,pre_market,returns_matrix.csv,TRUE,YES,164.4,165.01,YES,
351,PepsiCo|2023|Q4,PepsiCo,PEP,2023,Q4,TRUE,2024-02-08,173.85,2024-02-09,171.2,2024-02-09,pre_market,returns_matrix.csv,TRUE,YES,167.67,167.86,YES,
352,PepsiCo|2024|Q1,PepsiCo,PEP,2024,Q1,TRUE,2024-04-22,176.46,2024-04-23,174.7,2024-04-23,pre_market,returns_matrix.csv,TRUE,YES,171.22,168.5,YES,
353,PepsiCo|2024|Q2,PepsiCo,PEP,2024,Q2,TRUE,2024-07-10,163.59,2024-07-11,159.1,2024-07-11,pre_market,returns_matrix.csv,TRUE,YES,163.95,164.96,YES,
354,PepsiCo|2024|Q3,PepsiCo,PEP,2024,Q3,TRUE,2024-10-07,167.21,2024-10-08,167.72,2024-10-08,pre_market,returns_matrix.csv,TRUE,YES,170.42,169.38,YES,
355,PepsiCo|2024|Q4,PepsiCo,PEP,2024,Q4,TRUE,2025-02-03,150.27,2025-02-04,146.1,2025-02-04,pre_market,returns_matrix.csv,TRUE,YES,143.49,143.39,YES,
