document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
GS_FQ4_2025,GS,2026-01-15,2026-01-14,932.67,-0.008331,0.046308,0.011472,0.023567,0.007988,-0.010382,0.047146,0.021353,0.027915,0.008378,20260820_020202,1,NO
IBM_FQ1_2026,IBM,2026-04-22,2026-04-22,251.86,-0.077781,-0.082506,-0.094537,-0.098309,-0.103708,-0.075377,-0.078625,-0.100105,-0.098829,-0.135513,20260820_020202,1,NO
IBM_FQ2_2025,IBM,2025-07-23,2025-07-23,282.01,-0.073614,-0.076238,-0.066664,-0.077125,-0.105422,-0.074229,-0.076569,-0.070969,-0.077519,-0.103167,20260820_020202,1,NO
IBM_FQ4_2025,IBM,2026-01-28,2026-01-28,294.16,0.080568,0.051265,0.069928,-0.017372,-0.07258,0.079173,0.053249,0.069942,-0.004099,-0.067604,20260820_020202,1,NO
LOW_FQ1_2025,LOW,2025-05-21,2025-05-20,231.25,0.00627,-0.016778,-0.044022,-0.029103,-0.012368,0.006613,-0.017173,-0.058245,-0.041438,-0.02985,20260820_020202,1,NO
LOW_FQ1_2026,LOW,2026-05-20,2026-05-19,218.37,-0.020103,0.012273,-0.015295,-0.007006,-0.049091,-0.016582,0.01029,-0.027895,-0.025017,-0.07046,20260820_020202,1,NO
LOW_FQ2_2025,LOW,2025-08-20,2025-08-19,256.36,0.035263,0.003043,0.028749,0.007685,0.016851,0.038131,0.007055,0.021916,-0.005667,-0.000403,20260820_020202,1,NO
LOW_FQ3_2025,LOW,2025-11-19,2025-11-18,219.57,0.047547,0.04026,0.06704,0.084392,0.124653,0.032034,0.055503,0.057834,0.058661,0.091814,20260820_020202,1,NO
LOW_FQ4_2025,LOW,2026-02-25,2026-02-24,278.59,-0.044294,-0.055889,-0.050325,-0.074985,-0.09864,-0.044482,-0.050334,-0.040558,-0.063414,-0.074374,20260820_020202,1,NO
LULU_FQ1_2026,LULU,2026-06-04,2026-06-04,124.92,-0.115994,-0.085575,-0.028498,-0.024656,-0.105267,-0.109681,-0.059765,-0.002028,0.000876,-0.091597,20260820_020202,1,NO
