scope,dropped_key,n_dropped,n_remaining_trades,total_return_pct,delta_total_return_pct,avg_net_per_trade_pct,hit_rate,hit_rate_delta
EVENT,PUM.DE 2025-10-30,1,170,1272.0,6.45,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,V 2025-04-28,1,170,1270.9,5.35,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PUM.DE 2026-04-30,1,170,1270.62,5.07,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,SCHW 2025-10-15,1,170,1260.52,-5.03,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,V 2025-10-28,1,170,1270.48,4.93,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LMT 2026-01-29,1,170,1270.21,4.66,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,STAN.L 2025-05-02,1,170,1261.33,-4.22,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MAR 2026-02-10,1,170,1269.66,4.11,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LMT 2025-10-21,1,170,1261.47,-4.08,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2023-10-10,1,170,1261.74,-3.81,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,F 2026-02-10,1,170,1261.74,-3.81,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,JPM 2025-04-10,1,170,1262.14,-3.41,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MCD 2025-02-10,1,170,1262.28,-3.27,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,SCHW 2026-01-20,1,170,1262.28,-3.27,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2025-04-24,1,170,1268.56,3.01,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LOW 2026-02-25,1,170,1268.56,3.01,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,BAC 2025-04-15,1,170,1262.55,-3.0,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2024-02-09,1,170,1268.42,2.87,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,SIE.DE 2025-11-13,1,170,1262.69,-2.86,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LIN 2025-08-01,1,170,1268.29,2.74,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,TGT 2025-11-19,1,170,1268.01,2.46,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,KHC 2026-05-06,1,170,1263.37,-2.18,n/a (fast-path),n/a (fast-path),n/a (fast-path)
